Date&Time,Cloudfactor,Windspeed,Gartland 1,Gartland 2,Fontaine,Foy 1,Foy 2,Foy 3,Dyson,Lowell Thomas,Hancock,Library,,Gartland 1,Gartland 2,Fontaine,Foy 1,Foy 2,Foy 3,Dyson,Lowell Thomas,Hancock,Library
2018.04.17   19.30,0.701,1.921,22070.475,22070.475,22070.475,13242.285,13242.285,13242.285,30898.665,32370.03,27465.48,37274.58,,5657.5212,5657.5212,5657.5212,3394.5127,3394.5127,3394.5127,7920.5297,8297.6978,7040.4708,9554.9247
2018.04.17   20.30,0.476,2.516,20401.36875,20401.36875,20401.36875,12240.82125,12240.82125,12240.82125,28561.91625,29922.0075,25388.37,34455.645,,0.1107,0.1107,0.1107,0.0664,0.0664,0.0664,0.155,0.1624,0.1378,0.187
2018.04.17   21.30,0.494,1.787,20008.0125,20008.0125,20008.0125,12004.8075,12004.8075,12004.8075,28011.2175,29345.085,24898.86,33791.31,,0,0,0,0,0,0,0,0,0,0
2018.04.17   22.30,0.428,0.979,22155.525,22155.525,22155.525,13293.315,13293.315,13293.315,31017.735,32494.77,27571.32,37418.22,,0,0,0,0,0,0,0,0,0,0
2018.04.17   23.30,0.521,2.762,31883.11875,31883.11875,31883.11875,19129.87125,19129.87125,19129.87125,44636.36625,46761.9075,39676.77,53847.045,,0,0,0,0,0,0,0,0,0,0
2018.04.18   00.30,0.595,1.272,50232.65625,50232.65625,50232.65625,30139.59375,30139.59375,30139.59375,70325.71875,73674.5625,62511.75,84837.375,,0,0,0,0,0,0,0,0,0,0
2018.04.18   01.30,0.372,3.081,57972.20625,57972.20625,57972.20625,34783.32375,34783.32375,34783.32375,81161.08875,85025.9025,72143.19,97908.615,,0,0,0,0,0,0,0,0,0,0
2018.04.18   02.30,0.505,1.83,61469.8875,61469.8875,61469.8875,36881.9325,36881.9325,36881.9325,86057.8425,90155.835,76495.86,103815.81,,0,0,0,0,0,0,0,0,0,0
2018.04.18   03.30,0.659,1.822,60215.4,60215.4,60215.4,36129.24,36129.24,36129.24,84301.56,88315.92,74934.72,101697.12,,0,0,0,0,0,0,0,0,0,0
2018.04.18   04.30,0.608,1.062,59045.9625,59045.9625,59045.9625,35427.5775,35427.5775,35427.5775,82664.3475,86600.745,73479.42,99722.07,,1.00E-04,1.00E-04,1.00E-04,0,0,0,1.00E-04,1.00E-04,1.00E-04,1.00E-04
2018.04.18   05.30,0.58,1.398,63500.45625,63500.45625,63500.45625,38100.27375,38100.27375,38100.27375,88900.63875,93134.0025,79022.79,107245.215,,0.4713,0.4713,0.4713,0.2828,0.2828,0.2828,0.6597,0.6912,0.5864,0.7959
2018.04.18   06.30,0.533,1.064,67997.475,67997.475,67997.475,40798.485,40798.485,40798.485,95196.465,99729.63,84619.08,114840.18,,24603.5105,24603.5105,24603.5105,14762.1063,14762.1063,14762.1063,34444.9147,36085.1487,30617.7019,41552.5955
2018.04.18   07.30,0.407,2.163,60194.1375,60194.1375,60194.1375,36116.4825,36116.4825,36116.4825,84271.7925,88284.735,74908.26,101661.21,,146414.3305,146414.3305,146414.3305,87848.5983,87848.5983,87848.5983,204980.0627,214741.018,182204.5002,247277.5359
2018.04.18   08.30,0.418,2.265,52847.94375,52847.94375,52847.94375,31708.76625,31708.76625,31708.76625,73987.12125,77510.3175,65766.33,89254.305,,194096.3763,194096.3763,194096.3763,116457.8258,116457.8258,116457.8258,271734.9268,284674.6853,241542.1572,327807.2133
2018.04.18   09.30,0.388,0.965,49105.74375,49105.74375,49105.74375,29463.44625,29463.44625,29463.44625,68748.04125,72021.7575,61109.37,82934.145,,231867.1188,231867.1188,231867.1188,139120.2713,139120.2713,139120.2713,324613.9663,340071.7742,288545.7478,391597.8006
2018.04.18   10.30,0.161,0.719,49775.5125,49775.5125,49775.5125,29865.3075,29865.3075,29865.3075,69685.7175,73004.085,61942.86,84065.31,,339652.2739,339652.2739,339652.2739,203791.3643,203791.3643,203791.3643,475513.1834,498156.6683,422678.3853,573634.9514
2018.04.18   11.30,0.038,2.072,55729.0125,55729.0125,55729.0125,33437.4075,33437.4075,33437.4075,78020.6175,81735.885,69351.66,94120.11,,403393.5868,403393.5868,403393.5868,242036.1521,242036.1521,242036.1521,564751.0215,591643.9273,502000.908,681286.9466
2018.04.18   12.30,0.28,1.939,65733.01875,65733.01875,65733.01875,39439.81125,39439.81125,39439.81125,92026.22625,96408.4275,81801.09,111015.765,,306501.3912,306501.3912,306501.3912,183900.8347,183900.8347,183900.8347,429101.9476,449535.3737,381423.9534,517646.7939
2018.04.18   13.30,0.093,1.834,72037.35,72037.35,72037.35,43222.41,43222.41,43222.41,100852.29,105654.78,89646.48,121663.08,,385645.2777,385645.2777,385645.2777,231387.1666,231387.1666,231387.1666,539903.3888,565613.0739,479914.1233,651312.0245
2018.04.18   14.30,0.035,1.843,68688.50625,68688.50625,68688.50625,41213.10375,41213.10375,41213.10375,96163.90875,100743.1425,85479.03,116007.255,,403089.2683,403089.2683,403089.2683,241853.561,241853.561,241853.561,564324.9756,591197.5935,501622.2005,680772.9864
2018.04.18   15.30,0.043,2.216,64999.4625,64999.4625,64999.4625,38999.6775,38999.6775,38999.6775,90999.2475,95332.545,80888.22,109776.87,,384495.5306,384495.5306,384495.5306,230697.3184,230697.3184,230697.3184,538293.7429,563926.7782,478483.327,649370.2295
2018.04.18   16.30,0.184,2.951,55590.80625,55590.80625,55590.80625,33354.48375,33354.48375,33354.48375,77827.12875,81533.1825,69179.67,93886.695,,304854.8379,304854.8379,304854.8379,182912.9027,182912.9027,182912.9027,426796.7731,447120.4289,379374.9094,514865.9484
2018.04.18   17.30,0,2.587,38995.425,38995.425,38995.425,23397.255,23397.255,23397.255,54593.595,57193.29,48527.64,65858.94,,324102.534,324102.534,324102.534,194461.5204,194461.5204,194461.5204,453743.5476,475350.3832,403327.5979,547373.1685
2018.04.18   18.30,0.128,1.49,25993.40625,25993.40625,25993.40625,15596.04375,15596.04375,15596.04375,36390.76875,38123.6625,32347.35,43899.975,,198396.9041,198396.9041,198396.9041,119038.1425,119038.1425,119038.1425,277755.6658,290982.1261,246893.9252,335070.327
2018.04.18   19.30,0,2.648,22070.475,22070.475,22070.475,13242.285,13242.285,13242.285,30898.665,32370.03,27465.48,37274.58,,21830.6984,21830.6984,21830.6984,13098.4191,13098.4191,13098.4191,30562.9778,32018.3577,27167.0914,36869.624
2018.04.18   20.30,0,1.721,20401.36875,20401.36875,20401.36875,12240.82125,12240.82125,12240.82125,28561.91625,29922.0075,25388.37,34455.645,,0.2604,0.2604,0.2604,0.1562,0.1562,0.1562,0.3645,0.3819,0.324,0.4397
2018.04.18   21.30,0.221,2.26,20008.0125,20008.0125,20008.0125,12004.8075,12004.8075,12004.8075,28011.2175,29345.085,24898.86,33791.31,,1.00E-04,1.00E-04,1.00E-04,0,0,0,1.00E-04,1.00E-04,1.00E-04,1.00E-04
2018.04.18   22.30,0.256,2.662,22155.525,22155.525,22155.525,13293.315,13293.315,13293.315,31017.735,32494.77,27571.32,37418.22,,0,0,0,0,0,0,0,0,0,0
2018.04.18   23.30,0.48,1.721,31883.11875,31883.11875,31883.11875,19129.87125,19129.87125,19129.87125,44636.36625,46761.9075,39676.77,53847.045,,0,0,0,0,0,0,0,0,0,0
2018.04.19   00.30,0.271,3.421,50232.65625,50232.65625,50232.65625,30139.59375,30139.59375,30139.59375,70325.71875,73674.5625,62511.75,84837.375,,0,0,0,0,0,0,0,0,0,0
2018.04.19   01.30,0.193,1.611,57972.20625,57972.20625,57972.20625,34783.32375,34783.32375,34783.32375,81161.08875,85025.9025,72143.19,97908.615,,0,0,0,0,0,0,0,0,0,0
2018.04.19   02.30,0.354,0.996,61469.8875,61469.8875,61469.8875,36881.9325,36881.9325,36881.9325,86057.8425,90155.835,76495.86,103815.81,,0,0,0,0,0,0,0,0,0,0
2018.04.19   03.30,0.149,2.576,60215.4,60215.4,60215.4,36129.24,36129.24,36129.24,84301.56,88315.92,74934.72,101697.12,,0,0,0,0,0,0,0,0,0,0
