Date&Time,Cloudfactor,Windspeed,powerConsumption_CustomConsumer@18/5_Bus0,powerConsumption_CustomConsumer@18/6_Bus0,powerConsumption_CustomConsumer@18/9_Bus0,powerConsumption_CustomConsumer@14/10_Bus0,powerConsumption_CustomConsumer@18/11_Bus0,powerConsumption_CustomConsumer@13/11_Bus0,powerConsumption_CustomConsumer@13/12_Bus0,powerConsumption_CustomConsumer@19/13_Bus0,powerConsumption_CustomConsumer@14/14_Bus0,powerConsumption_CustomConsumer@17/16_Bus0,,powerProduction_SolarPowerPlant@18/3_Bus0,powerProduction_SolarPowerPlant@20/6_Bus0,powerProduction_SolarPowerPlant@20/9_Bus0,powerProduction_SolarPowerPlant@14/8_Bus0,powerProduction_SolarPowerPlant@20/11_Bus0,powerProduction_SolarPowerPlant@11/11_Bus0,powerProduction_SolarPowerPlant@21/13_Bus0,powerProduction_SolarPowerPlant@14/16_Bus0,powerProduction_SolarPowerPlant@11/13_Bus0,powerProduction_SolarPowerPlant@19/16_Bus0
2018.07.04   04.30,0.428,2.093,22155.525,22155.525,22155.525,13293.315,31017.735,13293.315,13293.315,32494.77,27571.32,37418.22,,0.2018,0.2018,0.2018,0.1211,0.2825,0.1211,0.2959,0.2511,0.1211,0.3408
2018.07.04   05.30,0.521,2.398,31883.11875,31883.11875,31883.11875,19129.87125,44636.36625,19129.87125,19129.87125,46761.9075,39676.77,53847.045,,3393.3327,3393.3327,3393.3327,2035.9996,4750.6657,2035.9996,4976.8879,4222.814,2035.9996,5730.9618
2018.07.04   06.30,0.595,1.35,50232.65625,50232.65625,50232.65625,30139.59375,70325.71875,30139.59375,30139.59375,73674.5625,62511.75,84837.375,,78847.4727,78847.4727,78847.4727,47308.4836,110386.4618,47308.4836,115642.96,98121.2994,47308.4836,133164.6206
2018.07.04   07.30,0.372,0.541,57972.20625,57972.20625,57972.20625,34783.32375,81161.08875,34783.32375,34783.32375,85025.9025,72143.19,97908.615,,191820.4783,191820.4783,191820.4783,115092.287,268548.6696,115092.287,281336.7015,238709.9285,115092.287,323963.4744
2018.07.04   08.30,0.505,1.951,61469.8875,61469.8875,61469.8875,36881.9325,86057.8425,36881.9325,36881.9325,90155.835,76495.86,103815.81,,179912.1121,179912.1121,179912.1121,107947.2673,251876.957,107947.2673,263871.0978,223890.6284,107947.2673,303851.5672
2018.07.04   09.30,0.659,2.751,60215.4,60215.4,60215.4,36129.24,84301.56,36129.24,36129.24,88315.92,74934.72,101697.12,,135586.767,135586.767,135586.767,81352.0602,189821.4738,81352.0602,198860.5916,168730.1989,81352.0602,228990.9843
2018.07.04   10.30,0.608,2.13,59045.9625,59045.9625,59045.9625,35427.5775,82664.3475,35427.5775,35427.5775,86600.745,73479.42,99722.07,,164043.8143,164043.8143,164043.8143,98426.2886,229661.34,98426.2886,240597.5943,204143.4133,98426.2886,277051.7752
2018.07.04   11.30,0.58,2.119,63500.45625,63500.45625,63500.45625,38100.27375,88900.63875,38100.27375,38100.27375,93134.0025,79022.79,107245.215,,180879.0469,180879.0469,180879.0469,108527.4281,253230.6656,108527.4281,265289.2687,225093.925,108527.4281,305484.6125
2018.07.04   12.30,0.533,1.446,67997.475,67997.475,67997.475,40798.485,95196.465,40798.485,40798.485,99729.63,84619.08,114840.18,,203767.6497,203767.6497,203767.6497,122260.5898,285274.7096,122260.5898,298859.2195,253577.5196,122260.5898,344140.9195
2018.07.04   13.30,0.407,1.833,60194.1375,60194.1375,60194.1375,36116.4825,84271.7925,36116.4825,36116.4825,88284.735,74908.26,101661.21,,258768.9997,258768.9997,258768.9997,155261.3998,362276.5996,155261.3998,379527.8662,322023.6441,155261.3998,437032.0884
2018.07.04   14.30,0.418,1.743,52847.94375,52847.94375,52847.94375,31708.76625,73987.12125,31708.76625,31708.76625,77510.3175,65766.33,89254.305,,250718.4976,250718.4976,250718.4976,150431.0985,351005.8966,150431.0985,367720.4631,312005.2414,150431.0985,423435.6847
2018.07.04   15.30,0.388,1.001,49105.74375,49105.74375,49105.74375,29463.44625,68748.04125,29463.44625,29463.44625,72021.7575,61109.37,82934.145,,256247.0152,256247.0152,256247.0152,153748.2091,358745.8213,153748.2091,375828.9557,318885.1745,153748.2091,432772.7368
2018.07.04   16.30,0.161,2.272,49775.5125,49775.5125,49775.5125,29865.3075,69685.7175,29865.3075,29865.3075,73004.085,61942.86,84065.31,,333905.2006,333905.2006,333905.2006,200343.1204,467467.2809,200343.1204,489727.6276,415526.4719,200343.1204,563928.7833
2018.07.04   17.30,0.038,2.179,55729.0125,55729.0125,55729.0125,33437.4075,78020.6175,33437.4075,33437.4075,81735.885,69351.66,94120.11,,350208.95,350208.95,350208.95,210125.37,490292.53,210125.37,513639.7933,435815.5822,210125.37,591464.0044
2018.07.04   18.30,0.28,2.347,65733.01875,65733.01875,65733.01875,39439.81125,92026.22625,39439.81125,39439.81125,96408.4275,81801.09,111015.765,,220632.843,220632.843,220632.843,132379.7058,308885.9802,132379.7058,323594.8364,274565.3157,132379.7058,372624.357
2018.07.04   19.30,0.093,2.721,72037.35,72037.35,72037.35,43222.41,100852.29,43222.41,43222.41,105654.78,89646.48,121663.08,,178311.0385,178311.0385,178311.0385,106986.6231,249635.4539,106986.6231,261522.8565,221898.1812,106986.6231,301147.5317
2018.07.04   20.30,0.035,1.859,68688.50625,68688.50625,68688.50625,41213.10375,96163.90875,41213.10375,41213.10375,100743.1425,85479.03,116007.255,,7576.1601,7576.1601,7576.1601,4545.6961,10606.6242,4545.6961,11111.7015,9428.1104,4545.6961,12795.2927
2018.07.04   21.30,0.043,2.786,64999.4625,64999.4625,64999.4625,38999.6775,90999.2475,38999.6775,38999.6775,95332.545,80888.22,109776.87,,0.3638,0.3638,0.3638,0.2183,0.5093,0.2183,0.5335,0.4527,0.2183,0.6143
2018.07.04   22.30,0.184,1.798,55590.80625,55590.80625,55590.80625,33354.48375,77827.12875,33354.48375,33354.48375,81533.1825,69179.67,93886.695,,4.00E-04,4.00E-04,4.00E-04,2.00E-04,5.00E-04,2.00E-04,5.00E-04,5.00E-04,2.00E-04,6.00E-04
2018.07.04   23.30,0,2.374,38995.425,38995.425,38995.425,23397.255,54593.595,23397.255,23397.255,57193.29,48527.64,65858.94,,0,0,0,0,0,0,0,0,0,0
